item_number,total_650_to_800
012632-064-00720,1
012632-064-00820,0
012632-082-00520,0
012632-082-00820,0
012632-082-10520,4
012632-082-10620,5
012632-082-10720,2
012632-082-10820,0
012632-082-11020,0
012632-084-10520,1
012632-084-10620,2
012632-085-00520,9
012632-085-00620,5
012632-085-00720,0
012632-085-00820,0
012632-085-00920,0
012632-085-01020,0
012632-092-05204,14
012632-092-06204,0
012632-094-00075,0
012632-094-00150,396
012632-095-00001,60
012632-096-00140,0
012632-103-01072,0
012632-103-01082,0
012632-103-01102,0
012632-103-02062,0
012632-103-02102,0
012632-104-01082,0
012632-104-02062,0
012632-104-02102,0
012632-131-00620,0
012632-131-00720,0
012632-131-00820,0
012632-140-20520,98
012632-140-20620,35
012632-140-20720,0
012632-140-20820,0
012632-140-20920,10
012632-140-21020,0
012632-140-30520,16
012632-140-30620,23
012632-140-30720,4
012632-140-30820,0
012632-141-10520,160
012632-148-07546,4
012632-148-07556,80
012632-148-07576,0
012632-148-07596,0
012632-157-00001,42
012632-160-00001,4
012632-164-00055,0
012632-164-00155,1321
012632-164-10055,0
012632-164-10155,4
012632-168-30000,0
012632-168-45000,0
012632-168-60000,3
012632-168-90000,18
012632-169-30052,0
012632-169-30072,0
012632-169-30082,0
012632-169-45052,0
012632-169-45062,0
012632-169-45072,0
012632-169-60052,3
012632-169-60062,0
012632-169-60072,0
012632-169-90052,18
012632-169-90062,0
012632-174-00300,0
012632-205-20180,0
012632-205-30180,0
012632-209-00520,6
012632-209-00620,0
012632-209-00720,2
012632-209-00820,0
012632-209-00920,4
012632-209-01020,0
012632-222-00001,40
012632-222-00003,0
012632-223-00001,24
012632-224-00001,0
012632-251-00460,0
012632-251-00660,0
012632-251-10460,0
012632-365-00045,2
012632-365-00060,2
012632-365-00090,0
012632-365-00130,0
012632-365-01045,0
012632-365-01060,2
012632-365-01090,4
012632-365-01150,0
012632-365-0x045,0
012632-365-0x060,0
012632-365-0x090,0
012632-365-0x150,0
012632-365-10045,8
012632-365-10060,3
012632-365-10090,0
012632-365-10130,0
012632-365-11045,4
012632-365-11060,3
012632-365-11090,0
012632-365-1x045,0
012632-365-1x090,0
012632-409-00652,0
012632-409-00852,0
012632-427-00520,12
012632-427-00820,0
012632-427-00920,0
012632-539-00520,8
012632-683-00001,21846
012632-760-00001,8
012632-761-00001,370
012632-841-00520,0
012632-847-30460,0
012632-847-30560,0
012632-847-30660,0
012632-847-30760,0
012632-847-45460,32
012632-847-45560,0
012632-847-45660,0
012632-847-45960,0
012632-871-00002,0
012632-875-00001,0
012632-876-00001,0
012632-885-00458,0
012632-885-00558,0
012632-885-00658,24
012632-885-00958,0
012632-896-00520,0
012632-898-01001,0
012632-898-11001,0
012632-905-30038,0
012632-905-30118,0
012632-906-00001,2472
012632-907-00001,2431
012632-958-00458,1441
012632-958-00558,0
012632-958-00658,22
012632-958-00758,0
012632-964-00458,180
012632-997-00520,404
012632-997-00620,119
012632-997-00720,71
012632-997-00820,0
012632-997-00920,20
012632-997-01020,0
012632-998-00001,3764
012634-039-30001,2
012806-075-00145,6
013064-003-00520,8
013064-017-00001,8
013064-018-15066,2
013064-018-21066,0
013064-018-30066,0
013064-019-15076,0
013064-019-21076,0
013064-021-20632,0
013064-021-30632,2
013064-021-30732,0
013064-023-01200,2
013064-023-01800,0
013064-060-00520,4
013064-060-00620,0
013064-060-00720,0
013064-060-00920,2
013064-060-10620,1
013064-085-00560,0
013064-339-00001,0
013064-371-01198,2
013064-395-07146,15
013064-395-07156,12
013064-395-07166,0
013064-395-07176,0
013064-395-07186,0
013064-395-07196,0
013064-395-22146,31
013064-395-22156,5
013064-395-22166,0
013064-395-22176,0
013064-395-22186,12
013064-395-22196,0
013064-395-30146,13
013064-395-30156,20
013064-395-30166,0
013064-395-30176,0
013064-395-30186,0
013064-395-37146,8
013064-395-37156,0
013064-395-37166,2
013064-395-37176,0
013064-395-37186,0
013064-395-52146,12
013064-395-52156,7
013064-395-52166,2
013064-395-52176,0
013064-395-52186,0
013064-395-52196,0
013064-395-75146,378
013064-396-75056,111
013064-396-75066,6
013064-396-75076,0
013064-396-75086,30
013064-396-75096,0
013064-397-00046,58
013064-397-00056,46
013064-397-00066,4
013064-397-00076,0
013064-397-00086,12
013064-397-00096,0
013064-407-00001,6
013064-407-10001,0
013064-473-00001,48
013064-506-00001,0
013064-539-00001,0
013064-552-00001,0
013064-558-00001,254
013064-560-00620,0
013064-560-01020,0
013064-560-10520,4
013064-560-10720,0
013064-613-11062,0
013064-682-01002,0
013064-682-11002,0
013064-687-00458,1055
013064-687-00558,0
013064-687-00658,45
013064-687-00758,0
013064-687-00858,0
013064-687-00958,0
013064-749-00795,128
013064-781-00001,2
013064-782-00001,353
013064-798-00460,4
013064-917-00460,184
013064-917-00560,0
013064-917-00660,2
013064-917-00760,0
013064-917-10460,20
013064-917-10560,0
013064-917-10660,88
013064-917-10760,0
013064-936-00001,96
013064-973-00660,0
013064-973-00760,0
013064-973-10460,8
013064-973-10560,0
013064-998-00520,128
013064-998-00620,0
013064-998-00720,76
013064-998-00820,0
013064-998-01020,0
013070-008-00001,6
013070-009-00001,4
013070-010-00090,16
013070-010-00190,0
013070-011-00090,12
013070-011-00190,0
013107-256-00450,0
013107-256-00750,0
013107-256-00800,0
013107-256-01000,0
013107-256-01250,0
013107-256-01350,0
013107-256-01500,0
013107-256-01800,0
013107-256-01950,0
013107-256-02000,0
013107-256-02300,0
013107-256-02600,0
013107-256-03000,0
013162-021-00001,24
013162-030-10100,128
013162-030-10300,780
013162-083-00001,0
013162-087-00100,0
013162-139-00001,24
013164-043-10000,0
013164-043-13000,0
013164-059-01000,0
013164-059-01300,0
013164-190-10002,0
013164-190-10011,0
013164-190-10012,0
013164-190-10013,0
013164-190-13011,0
013164-193-10000,0
013164-193-13000,0
013164-195-10011,0
013164-195-10012,0
013164-195-13011,0
013164-196-02250,0
013164-196-02700,0
013164-196-03000,0
013164-229-03000,0
013164-292-40350,0
013164-292-70350,0
013164-414-00021,0
013164-414-00022,0
013164-471-01202,0
013164-471-10300,0
013164-471-11202,0
013164-471-21202,0
013164-483-10001,0
013164-483-10002,0
013164-483-13001,0
013164-493-00001,0
013164-494-00001,0
013164-513-00001,0
013164-514-00001,0
013164-515-00001,0
013164-520-00001,0
013164-570-10099,0
013164-627-10560,0
013164-627-11070,0
013164-628-11070,0
013164-628-21070,0
013164-630-10654,0
013164-630-20654,0
013164-683-10001,0
013164-683-10002,0
013164-683-10004,0
013164-683-13001,0
013164-710-00500,0
013164-710-00640,0
013164-710-00700,0
013164-710-00740,0
013164-710-00760,0
013164-710-00780,0
013164-710-00800,0
013164-710-00820,0
013164-710-00880,0
013164-710-00940,0
013164-710-00980,0
013164-710-01000,0
013164-710-01060,0
013164-710-01080,0
013164-710-01240,0
013164-710-01260,0
013164-710-01300,0
013164-710-01380,0
013164-710-01620,0
013164-710-01760,0
013164-710-01900,0
013164-710-02160,0
013164-710-02220,0
013164-710-02340,0
013164-710-02380,0
013164-710-02560,0
013164-710-02580,0
013164-710-02660,0
013164-710-02720,0
013164-710-02760,0
013164-710-02800,0
013164-710-02820,0
013164-710-02840,0
013164-710-02880,0
013164-710-02900,0
013164-710-03000,0
013164-713-30920,0
013164-713-31020,0
013164-713-31160,0
013164-713-31180,0
013164-713-31520,0
