Parent Itemnumber,Child Itemnumber,Item description,Itemnumber,Conversion,Conversion Required,,Points of Attention,Amazon,Used in Amazon,TEMP SubsetLookup,TEMP SubsetLookup NEW,Review Comment Dennis,VI Progress Status,VI Progress Status Comment,Spec Item,Parent Spec Item,Markcode,PDB item,Loeka --> ESOT lib,Conversion,OK to start,Started,Reference PartGroup Revision ,dotM: 026208 range,New Model ,Reviewed,Reviewed,Ready,Released,Fixed colour,Documentation,nldge,Total number of Objects,Unidentified Objects [0/1],Conversion Required = No [0/1],Conversion Required = Yes [0/1],Conversion Required =? [0/1],In Analysis,OK to start Conversion = Yes [0/1],In Progress [0/1],Ready for Release [0/1],Released [0/1],Total number of Objects,Unidentified Objects [0/1],Conversion Required = No [0/1],Conversion Required = Yes [0/1],Conversion Required =? [0/1],In Analysis,OK to start Conversion = Yes [0/1],In Progress [0/1],Ready for Release [0/1],Released [0/1]
009249-312 child 01,013064-881,Cover ETU LRJ,013064-881,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-312,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-727,SLD01097385,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-312 child 02,001128-276,Weldment ETU LRJ Right,001128-276,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-312,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,C02,026205-826,SLD01099194,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-312 child 03,009249-298,Protection plate,009249-298,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-312,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-661,SLD01096907,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-312 child 04,009249-280,Cover,009249-280,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-312,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-724,SLD01097353,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-312 child 05,009249-295,Weldment motorsupport LRJ right,009249-295,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-312,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,C01,026205-734,SLD01097529,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-312 child 06,009249-145,Nutplate,009249-145,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-312,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-576,SLD01096539,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-312 child 07,009249-188,Trussing bracket,009249-188,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-312,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-577,SLD01096546,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-312 child 08,009249-557,Cover rollers LRJ 20ø Right,009249-557,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-312,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,A01,026205-827,SLD01099252,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-312 child 09,013064-779,cover,013064-779,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-312,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,B02,026205-725,SLD01097358,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-312 child 10,013064-774,Weldment motor plate,013064-774,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-312,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A02,026205-733,SLD01097517,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-312 child 11,013064-777,cover,013064-777,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-312,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,B01,026205-726,SLD01097369,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-312 child 12,009249-269,Weldment crossmember ETU,009249-269,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-312,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,C02,026205-730,SLD01097514,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-312 child 13,009249-582,Safety cover Junction right,009249-582,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-312,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-729,SLD01097430,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-312 child 14,012632-812,Bracket LRJ 20ø Right,012632-812,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-312,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,G01,026205-828,SLD01099298,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-312 child 15,007772-005,Transparent Cover LRJ,007772-005,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-312,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,B01,026205-728,SLD01097418,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-312 child 16,001128-277,Assy ETU LRJ Right,001128-277,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-312,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,B03,026205-829,SLD01099393,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-312 child 17,007772-004,Assy Transparent Cover for LRJ,007772-004,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-312,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A02,026205-735,SLD01097551,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-312 child 18,009249-187,Assy trussing bracket,009249-187,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-312,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-592,SLD01097072,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-312 child 19,009249-271,Assy crossmember ETU,009249-271,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-312,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,B02,026205-746,SLD01097618,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313,,Assy LRJ 30ø Powertwist Left,009249-313,dotM,Yes,,,Yes,,No,No,,6. Converted,,Yes,-,.M # LRJ Fennerbelt,Yes,Captured in ticket ITTISLIBS-4014,TSG,Yes,Yes,E01,026205-324,SLD01098843,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 01,009249-145,Nutplate,009249-145,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-576,SLD01096539,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 02,009249-188,Trussing bracket,009249-188,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-577,SLD01096546,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 03,009249-294,Weldment motorsupport LRJ left,009249-294,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,B01,026205-700,SLD01098182,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 04,013064-774,Weldment motor plate,013064-774,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A02,026205-733,SLD01097517,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 05,013064-757,channel LRJ short left,013064-757,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,B01,026205-710,SLD01098646,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 06,013064-876,Weldment ETU LRJ Left,013064-876,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,A04,026205-688,SLD01097859,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 07,013064-881,Cover ETU LRJ,013064-881,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-727,SLD01097385,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 08,013064-779,cover,013064-779,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,B02,026205-725,SLD01097358,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 09,009249-269,Weldment crossmember ETU,009249-269,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,C02,026205-730,SLD01097514,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 10,009249-512,Safety cover Junction left,009249-512,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,A01,026205-648,SLD01097178,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 11,009249-280,Cover,009249-280,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-724,SLD01097353,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 12,009249-558,Cover rollers LRJ 30ø Left,009249-558,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,B01,026205-711,SLD01098718,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 13,009249-298,Protection plate,009249-298,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-661,SLD01096907,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 14,013064-762,Bracket LRJ 30ø left,013064-762,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,D01,026205-714,SLD01098693,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 15,013064-759,channel LRJ,013064-759,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,C01,026205-715,SLD01098777,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 16,013064-769,Weldment crossmember motorsupport LRJ,013064-769,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,C01,026205-716,SLD01098821,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 17,013064-777,cover,013064-777,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,B01,026205-726,SLD01097369,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 18,007772-005,Transparent Cover LRJ,007772-005,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,B01,026205-728,SLD01097418,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 19,007772-004,Assy Transparent Cover for LRJ,007772-004,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A02,026205-735,SLD01097551,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 20,009249-187,Assy trussing bracket,009249-187,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-592,SLD01097072,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 21,009249-271,Assy crossmember ETU,009249-271,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,B02,026205-746,SLD01097618,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-313 child 22,013064-874,Assy ETU LRJ left,013064-874,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-313,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,C03,026205-703,SLD01098216,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314,,Assy LRJ 30ø Powertwist Right,009249-314,dotM,Yes,,,Yes,,No,No,,6. Converted,,Yes,-,.M # LRJ Fennerbelt,Yes,Captured in ticket ITTISLIBS-4014,TSG,Yes,Yes,E01,026205-325,SLD01099014,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 01,009249-280,Cover,009249-280,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-724,SLD01097353,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 02,009249-295,Weldment motorsupport LRJ right,009249-295,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,C01,026205-734,SLD01097529,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 03,013064-789,Weldment crossmember motorsupport LRJ right,013064-789,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,C01,026205-336,SLD01098942,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 04,013064-777,cover,013064-777,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,B01,026205-726,SLD01097369,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 05,013064-774,Weldment motor plate,013064-774,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A02,026205-733,SLD01097517,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 06,013064-877,Weldment ETU LRJ Right,013064-877,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,A03,026205-709,SLD01098227,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 07,013064-881,Cover ETU LRJ,013064-881,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-727,SLD01097385,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 08,013064-779,cover,013064-779,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,B02,026205-725,SLD01097358,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 09,009249-559,Cover rollers LRJ 30ø Right,009249-559,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,B01,026205-717,SLD01098983,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 10,009249-145,Nutplate,009249-145,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-576,SLD01096539,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 11,009249-188,Trussing bracket,009249-188,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-577,SLD01096546,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 12,013064-780,Channel LRJ right,013064-780,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,C01,026205-718,SLD01098996,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 13,009249-298,Protection plate,009249-298,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-661,SLD01096907,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 14,013064-785,Bracket LRJ 30ø Right,013064-785,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,D01,026205-752,SLD01098696,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 15,009249-582,Safety cover Junction right,009249-582,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-729,SLD01097430,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 16,009249-269,Weldment crossmember ETU,009249-269,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,C02,026205-730,SLD01097514,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 17,013064-758,channel LRJ short right,013064-758,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,C01,026205-751,SLD01098678,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 18,007772-005,Transparent Cover LRJ,007772-005,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,B01,026205-728,SLD01097418,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 19,007772-004,Assy Transparent Cover for LRJ,007772-004,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A02,026205-735,SLD01097551,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 20,009249-187,Assy trussing bracket,009249-187,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-592,SLD01097072,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 21,009249-271,Assy crossmember ETU,009249-271,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,B02,026205-746,SLD01097618,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-314 child 22,013064-875,Assy ETU LRJ Right,013064-875,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-314,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,B04,026205-708,SLD01098221,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-315,,Assy LRJ 45ø Powertwist Left,009249-315,dotM,Yes,,,No,,No,No,,6. Converted,,Yes,-,.M # LRJ Fennerbelt,Yes,Captured in ticket ITTISLIBS-4171,TSG,Yes,Yes,E01,026205-707,SLD01098503,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
009249-315 child 01,013064-777,cover,013064-777,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-315,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,B01,026205-726,SLD01097369,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-315 child 02,013064-774,Weldment motor plate,013064-774,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-315,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A02,026205-733,SLD01097517,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-315 child 03,009249-280,Cover,009249-280,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-315,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-724,SLD01097353,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-315 child 04,013064-779,cover,013064-779,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-315,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,B02,026205-725,SLD01097358,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-315 child 05,013064-876,Weldment ETU LRJ Left,013064-876,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-315,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,A04,026205-688,SLD01097859,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-315 child 06,013064-881,Cover ETU LRJ,013064-881,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-315,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-727,SLD01097385,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-315 child 07,013064-811,Bracket LRJ 45ø Left,013064-811,dotM,Yes,,,No,No,No,No,,6. Converted,,No,009249-315,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,D01,026205-698,SLD01097933,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
009249-315 child 08,013064-807,Channel for LRJ 45ø Left,013064-807,dotM,Yes,,,No,No,No,No,,6. Converted,,No,009249-315,.M # LRJ Fennerbelt,Yes,,TSG,Yes,Yes,E01,026205-699,SLD01097987,Yes,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
009249-315 child 09,009249-145,Nutplate,009249-145,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-315,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-576,SLD01096539,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
009249-315 child 10,009249-188,Trussing bracket,009249-188,dotM,Yes,,,Yes,No,No,No,,6. Converted,,No,009249-315,.M # LRJ Fennerbelt,Yes,,VI,Yes,Yes,A01,026205-577,SLD01096546,N/A,Yes,Yes,Yes,Yes,In Progress,,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
